user_id,company_name,signup_date,industry
1,Blue Tech,2026-01-29,Education
2,Vertex Analytics,2024-05-22,Finance
3,Quantum Solutions,2025-08-27,Logistics
4,North Tech,2024-04-05,Manufacturing
5,Vertex Tech,2025-07-28,Manufacturing
6,Quantum Labs,2024-08-13,Real Estate
7,Evergreen Partners,2026-04-08,Healthcare
8,Peak Labs,2024-12-14,Education
9,Peak Analytics,2026-02-20,Technology
10,Blue Solutions,2025-01-24,Finance
11,Atlas Group,2025-09-10,Education
12,North Works,2025-07-03,Finance
13,Prime Solutions,2025-07-19,Education
14,Evergreen Group,2025-08-14,Manufacturing
15,Blue Tech,2025-11-08,Manufacturing
16,Summit Solutions,2024-08-26,Finance
17,Prime Partners,2025-04-09,Technology
18,Peak Group,2024-12-29,Manufacturing
19,Summit Solutions,2025-09-15,Retail
20,Quantum Analytics,2024-06-16,Real Estate
21,Prime Partners,2025-10-17,Marketing
22,Vertex Group,2026-02-25,Healthcare
23,Vertex Tech,2026-04-04,Technology
24,Prime Partners,2024-03-08,Manufacturing
25,Evergreen Group,2024-08-05,Real Estate
26,Prime Works,2024-05-26,Education
27,Peak Analytics,2026-02-01,Marketing
28,Quantum Partners,2026-02-03,Energy
29,Prime Labs,2025-01-05,Manufacturing
30,Peak Works,2024-04-03,Healthcare
31,Blue Systems,2025-10-04,Retail
32,Prime Solutions,2025-01-29,Logistics
33,Evergreen Works,2025-06-25,Education
34,Quantum Tech,2025-11-27,Finance
35,Quantum Partners,2026-02-26,Technology
36,Blue Partners,2025-03-21,Retail
37,Nexus Tech,2026-01-09,Education
38,Quantum Systems,2025-06-03,Finance
39,Summit Analytics,2024-06-05,Technology
40,Peak Tech,2025-09-05,Technology
41,Nexus Tech,2024-04-24,Technology
42,Summit Analytics,2024-02-29,Manufacturing
43,Evergreen Solutions,2024-03-28,Real Estate
44,Blue Systems,2024-05-11,Real Estate
45,Quantum Systems,2024-09-28,Marketing
46,Evergreen Labs,2024-08-04,Marketing
47,Vertex Partners,2025-02-12,Technology
48,Nexus Works,2024-05-03,Manufacturing
49,Vertex Solutions,2024-12-12,Healthcare
50,Evergreen Analytics,2025-08-25,Manufacturing
51,North Solutions,2025-12-25,Healthcare
52,Vertex Solutions,2024-02-02,Technology
53,Blue Analytics,2024-10-12,Real Estate
54,Vertex Systems,2026-01-10,Energy
55,Evergreen Works,2024-09-05,Real Estate
56,Prime Analytics,2024-04-06,Finance
57,Prime Group,2025-03-09,Logistics
58,Nexus Tech,2025-11-20,Finance
59,North Labs,2026-01-15,Technology
60,Blue Analytics,2024-07-15,Manufacturing
61,Quantum Works,2024-05-23,Logistics
62,Peak Partners,2025-04-18,Manufacturing
63,Blue Works,2026-04-07,Marketing
64,Blue Tech,2025-10-29,Marketing
65,North Solutions,2026-02-10,Manufacturing
66,Peak Labs,2025-05-12,Real Estate
67,Vertex Labs,2024-03-01,Retail
68,Prime Tech,2025-02-03,Education
69,Nexus Partners,2025-03-09,Marketing
70,Nexus Systems,2024-07-13,Education
71,Vertex Tech,2025-08-16,Marketing
72,North Group,2024-02-28,Healthcare
73,Evergreen Works,2025-05-29,Marketing
74,Peak Tech,2025-06-04,Finance
75,Peak Solutions,2025-09-01,Finance
76,Vertex Labs,2024-05-02,Energy
77,Vertex Tech,2025-09-26,Finance
78,Prime Group,2024-09-24,Manufacturing
79,Atlas Analytics,2024-09-28,Logistics
80,Peak Partners,2025-04-13,Technology
81,Blue Tech,2025-04-14,Energy
82,Evergreen Solutions,2024-03-16,Marketing
83,Vertex Partners,2024-05-15,Technology
84,Blue Analytics,2025-01-13,Education
85,Peak Works,2025-07-10,Education
86,Evergreen Tech,2025-11-14,Marketing
87,Summit Solutions,2024-05-17,Education
88,Blue Solutions,2026-01-30,Marketing
89,Peak Partners,2024-10-15,Energy
90,Vertex Group,2024-07-27,Education
91,Quantum Works,2024-09-14,Healthcare
92,Blue Labs,2026-04-29,Education
93,North Tech,2024-12-07,Retail
94,Summit Systems,2026-01-29,Real Estate
95,Quantum Labs,2025-07-28,Healthcare
96,Blue Solutions,2025-12-08,Retail
97,Quantum Tech,2025-01-13,Energy
98,Quantum Systems,2025-03-16,Retail
99,North Partners,2025-01-08,Healthcare
100,Atlas Analytics,2025-11-29,Manufacturing
